Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Africa,º Africa,1961,BiocapTotGHA,5388623.613365124,0,91193008.6523943,71658711.4321748,432883345.9781176,335720783.662161,936844473.3382123,,undefined
Africa,º Africa,1961,EFConsTotGHA,5388623.613365124,44260226.02971204,79208410.56745964,10966500.00140499,96277601.7298026,88006974.02389385,324108335.9656383,,undefined
Africa,º Africa,1962,BiocapTotGHA,5647036.785827556,0,95395393.00250001,71544040.18131523,432708300.8235485,334549495.54654175,939844266.3397329,,undefined
Africa,º Africa,1962,EFConsTotGHA,5647036.785827556,45946972.72137017,81442099.20297252,11065968.341528216,98387312.34157714,88677587.30476025,331166976.6980357,,undefined
Africa,º Africa,1963,BiocapTotGHA,5897161.891390673,0,101002666.29501632,71436826.16971852,431904825.90845525,333470876.9903002,943712357.2548813,,undefined
Africa,º Africa,1963,EFConsTotGHA,5897161.891390673,47623555.599476315,87068159.47474617,11168516.681358201,103817157.29319435,90971017.41884463,346545568.35901034,,undefined
Africa,º Africa,1964,BiocapTotGHA,6280520.946368031,0,104642475.96949013,75664407.74419847,454486448.9346947,359263171.94250816,1000337025.5372598,,undefined
Africa,º Africa,1964,EFConsTotGHA,6280520.946368031,55525410.68325639,90215067.42705882,12294440.267567717,111221289.8263956,102981784.62414968,378518513.77479625,,undefined
Africa,º Africa,1965,BiocapTotGHA,6401300.1255875155,0,106729082.14904472,75581506.60972326,454066047.4307107,358426329.09786725,1001204265.412934,,undefined
Africa,º Africa,1965,EFConsTotGHA,6401300.1255875155,61588469.58621298,91927649.28697054,12788149.55081012,115046746.75204237,104859690.71871778,392612006.0203414,,undefined
Africa,º Africa,1966,BiocapTotGHA,6756931.116942622,0,106957103.99442147,75981156.99381764,456757781.55575705,362741753.39582574,1009194727.0567647,,undefined
Africa,º Africa,1966,EFConsTotGHA,6756931.116942622,61031095.507762805,94754869.03059946,14515573.766375635,120434650.88583113,107214290.6676614,404707410.97517335,,undefined
Africa,º Africa,1967,BiocapTotGHA,7486209.435876988,0,118960692.9120298,75913099.77551106,456238263.9494389,362317775.82454646,1020916041.8974044,,undefined
Africa,º Africa,1967,EFConsTotGHA,7486209.435876988,62482169.73365127,104970028.15245667,15250949.95787681,122954460.39601436,112481369.10161833,425625186.7774945,,undefined
Africa,º Africa,1968,BiocapTotGHA,7567881.450120691,0,116540575.13455561,78821387.11099124,455931365.28394485,362831383.2333981,1021692592.2130098,,undefined
Africa,º Africa,1968,EFConsTotGHA,7567881.450120691,65870579.642027,97819146.63018757,15475908.468550585,125200784.84031294,116444229.20684282,428378530.2380414,,undefined
Africa,º Africa,1969,BiocapTotGHA,8027158.068745706,0,125904400.03320603,78657013.8281635,454103655.3768276,362027279.5813817,1028719506.8883246,,undefined
Africa,º Africa,1969,EFConsTotGHA,8027158.068745706,70118149.89395493,111783102.72389044,15454331.003992049,128392630.86222766,116699327.55309325,450474700.10590416,,undefined
Africa,º Africa,1970,BiocapTotGHA,8539033.25812497,0,130830810.22301325,78632630.63739063,453946454.07290214,363485833.3326057,1035434761.5240363,,undefined
Africa,º Africa,1970,EFConsTotGHA,8539033.25812497,77377704.23405665,117287445.63867308,15955036.575400773,132776488.88627638,118025533.31579968,469961241.9083316,,undefined
Africa,º Africa,1971,BiocapTotGHA,8824078.995403089,0,132004105.49115562,78403267.56290652,454384090.85589355,363213850.9939257,1036829393.8992856,,undefined
Africa,º Africa,1971,EFConsTotGHA,8824078.995403089,88011339.85821754,120640225.02868338,17054640.148481395,134932402.0416167,119511119.63771358,488973805.7101157,,undefined
Africa,º Africa,1972,BiocapTotGHA,8984870.81809815,0,127668956.75049698,78356108.71368444,454634190.1644546,362903123.57421863,1032547250.0209527,,undefined
Africa,º Africa,1972,EFConsTotGHA,8984870.81809815,90991277.03884341,112454637.92803124,18827598.947401434,134695973.98598066,118617613.49875312,484571972.21710813,,undefined
Africa,º Africa,1973,BiocapTotGHA,8826571.86033255,0,124897829.6967097,78438597.37117566,453888054.2036238,362877799.0573821,1028928852.1892235,,undefined
Africa,º Africa,1973,EFConsTotGHA,8826571.86033255,99780373.83373114,110816803.45512725,20290367.1962656,137055073.93169764,120842653.32604426,497611843.60319835,,undefined
Africa,º Africa,1974,BiocapTotGHA,9682719.154980903,0,134973935.68201098,78241383.9690801,454272051.42448175,361847559.2433318,1039017649.4738858,,undefined
Africa,º Africa,1974,EFConsTotGHA,9682719.154980903,106700039.72146209,125268404.31028935,20365227.572439723,139207727.4309515,122415347.18578647,523639465.37591004,,undefined
Africa,º Africa,1975,BiocapTotGHA,9730558.248720443,0,132299883.66181225,78160512.33307393,454377263.03985304,360956871.50369114,1035525088.7871511,,undefined
Africa,º Africa,1975,EFConsTotGHA,9730558.248720443,114923288.764074,121846415.1011113,19336349.671241574,143303287.38023818,126740876.87770607,535880776.04309195,,undefined
Africa,º Africa,1976,BiocapTotGHA,9958760.012645897,0,131409428.91626894,78097250.14675663,453210548.3934569,360681301.64418906,1033357289.1133167,,undefined
Africa,º Africa,1976,EFConsTotGHA,9958760.012645897,123329853.51963814,119317082.7176914,18205264.21703776,145004525.07423213,128675944.88125734,544491430.4225024,,undefined
Africa,º Africa,1977,BiocapTotGHA,10126224.819620576,0,126941902.80417486,78218327.55867639,452857802.00021863,361751238.3738444,1029895495.556536,,undefined
Africa,º Africa,1977,EFConsTotGHA,10126224.819620576,129579167.4444392,123062284.07606298,20322710.625246715,147524225.1272392,131748062.93095788,562362675.0235666,,undefined
Africa,º Africa,1978,BiocapTotGHA,10366022.36404938,0,127367757.0417748,78295269.53787994,451211084.49341524,362220571.85941416,1029460705.2965341,,undefined
Africa,º Africa,1978,EFConsTotGHA,10366022.36404938,127352978.19629118,125791336.00261731,21552370.14382724,151721501.1064282,138238063.67321545,575022271.4864291,,undefined
