Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Europe,º Europe,1961,BiocapTotGHA,25049823.115684062,0,214423377.7868594,119056308.92078839,342432591.2535776,60805105.84854528,761767206.9254547,,undefined
Europe,º Europe,1961,EFConsTotGHA,25049823.115684062,796071158.7709332,294039743.17937684,93463624.51266289,177796963.11777648,141568636.2452817,1527989948.9417157,,undefined
Europe,º Europe,1962,BiocapTotGHA,26708346.44043309,0,221424876.5778163,118865790.06280431,343827725.33643013,60649511.72962688,771476250.1471105,,undefined
Europe,º Europe,1962,EFConsTotGHA,26708346.44043309,854685813.494084,307404536.103024,94310004.96403453,180750895.65528595,144959606.38556796,1608819203.0424287,,undefined
Europe,º Europe,1963,BiocapTotGHA,27540347.553508937,0,227052811.00348398,118687660.92497613,345043522.9963107,60415486.81321786,778739829.291498,,undefined
Europe,º Europe,1963,EFConsTotGHA,27540347.553508937,915065184.6029576,309262631.1508791,97947553.89445858,176045139.89364317,147694319.125996,1673555176.2214434,,undefined
Europe,º Europe,1964,BiocapTotGHA,27948845.073372584,0,223926286.0204891,118566481.94296679,346551657.62666893,60273332.45510279,777266603.1186006,,undefined
Europe,º Europe,1964,EFConsTotGHA,27948845.073372584,964978989.0841007,305336875.0016899,97391789.33437482,186316372.74400422,148314139.37105867,1730287010.6086025,,undefined
Europe,º Europe,1965,BiocapTotGHA,29081219.88150986,0,235391235.26645312,118436575.47628258,349166866.9937129,60209771.314946935,792285668.9329057,,undefined
Europe,º Europe,1965,EFConsTotGHA,29081219.88150986,1002047073.5171533,318350308.9342923,109359569.38341312,187852743.62555405,146418536.80880672,1793109452.1507285,,undefined
Europe,º Europe,1966,BiocapTotGHA,28135438.971434638,0,226243904.08525863,118173600.57755367,352345946.63490385,60191834.23102489,785090724.5001754,,undefined
Europe,º Europe,1966,EFConsTotGHA,28135438.971434638,1024337133.7823889,315206930.92745805,116459999.65795264,189950996.4389292,146538728.4235793,1820629228.2017426,,undefined
Europe,º Europe,1967,BiocapTotGHA,32656357.08672009,0,253253502.61141542,118067751.08998622,355462522.2586433,60164519.09946876,819604652.1462336,,undefined
Europe,º Europe,1967,EFConsTotGHA,32656357.08672009,1045966252.8821543,335731304.4308856,126024597.67231691,193405341.08878922,144963356.8327444,1878747209.9936106,,undefined
Europe,º Europe,1968,BiocapTotGHA,32199991.344891928,0,248857948.68931064,117782118.41663107,359236488.6969502,59785539.277648225,817862086.4254315,,undefined
Europe,º Europe,1968,EFConsTotGHA,32199991.344891928,1107845018.5164905,329963124.6690828,127007509.3763369,192229561.72883376,147778975.08521563,1937024180.720853,,undefined
Europe,º Europe,1969,BiocapTotGHA,32801374.800206415,0,251012043.27440456,117536496.83888239,360328980.75839335,59598753.373330966,821277649.0452176,,undefined
Europe,º Europe,1969,EFConsTotGHA,32801374.800206415,1204477444.3863704,332467194.4010359,126558956.47488582,201567300.2685143,154357704.04143128,2052229974.3724449,,undefined
Europe,º Europe,1970,BiocapTotGHA,31936134.063414276,0,243135837.14701462,117500061.24737297,361794029.4649233,58524941.91478302,812891003.8375087,,undefined
Europe,º Europe,1970,EFConsTotGHA,31936134.063414276,1405336197.127653,335755822.23722935,126047420.3798858,215950682.71393636,149833257.9495059,2264859514.4716244,,undefined
Europe,º Europe,1971,BiocapTotGHA,35137227.78983756,0,260838874.06443173,117157325.9849086,364348985.8502934,58267965.55979614,835750379.2492673,,undefined
Europe,º Europe,1971,EFConsTotGHA,35137227.78983756,1424341551.006227,354320201.7699416,122196211.46697687,215410825.29792595,145410115.97096324,2296816133.3018737,,undefined
Europe,º Europe,1972,BiocapTotGHA,36205881.4211947,0,266992278.25247997,117086856.92356563,367390972.9744351,57864420.61639725,845540410.1880727,,undefined
Europe,º Europe,1972,EFConsTotGHA,36205881.4211947,1474283121.8568676,361579592.57924664,123602683.75865136,208440860.00222814,155996976.4245916,2360109116.042776,,undefined
Europe,º Europe,1973,BiocapTotGHA,36225091.63291352,0,264006514.51798534,117210119.01245756,368880403.3943772,57625742.52258332,843947871.0803169,,undefined
Europe,º Europe,1973,EFConsTotGHA,36225091.63291352,1565178600.9528675,357879139.67702186,120625179.41680297,220117912.44153547,142651139.54776955,2442677063.6689105,,undefined
Europe,º Europe,1974,BiocapTotGHA,37726013.67236594,0,272890361.8134861,116893602.18126018,370149107.98344606,57151827.1448204,854810912.7953793,,undefined
Europe,º Europe,1974,EFConsTotGHA,37726013.67236594,1490883447.3488953,359401917.7621285,125294686.81020278,223434055.5647073,126249797.95493093,2362989919.1132326,,undefined
Europe,º Europe,1975,BiocapTotGHA,35848508.72686337,0,262901633.46583226,116752619.86470446,371304705.26815075,56815160.40642729,843622627.7319778,,undefined
Europe,º Europe,1975,EFConsTotGHA,35848508.72686337,1427254186.7640963,347811041.9731199,114825762.5232175,204198706.0905615,132782124.77030744,2262720330.8481636,,undefined
