Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
North America,º North America,1961,BiocapTotGHA,7500455.093804179,0,258119409.0316747,226470271.574603,824442249.700281,111703661.6845629,1428236047.084926,,undefined
North America,º North America,1961,EFConsTotGHA,7500455.093804179,1027567947.3281281,204374093.60933128,30674377.7266227,252440217.3301624,131024330.4146078,1653581421.5026531,,undefined
North America,º North America,1962,BiocapTotGHA,7748122.3788204575,0,264761546.01208478,226107864.425425,824283327.806071,111526814.42503801,1434427675.04744,,undefined
North America,º North America,1962,EFConsTotGHA,7748122.3788204575,1080843197.4064457,216997424.2247887,31942108.278040998,263072648.4238214,133083427.77282031,1733686928.48473,,undefined
North America,º North America,1963,BiocapTotGHA,8299553.256674975,0,285747019.47191286,225769025.143534,822933914.3657899,109798514.2323718,1452548026.470283,,undefined
North America,º North America,1963,EFConsTotGHA,8299553.256674975,1151651091.9834425,228903956.4334824,32284696.8806402,259985936.09225678,132712664.5093359,1813837899.1558309,,undefined
North America,º North America,1964,BiocapTotGHA,7808914.4916272955,0,260915838.8837396,225538517.09895,822101643.88293,109452691.1965215,1425817605.5537689,,undefined
North America,º North America,1964,EFConsTotGHA,7808914.4916272955,1209703584.8118472,190959092.29610628,30933557.1926076,272711461.2786056,126318949.77020961,1838435559.841,,undefined
North America,º North America,1965,BiocapTotGHA,8860611.767400749,0,292162727.0449758,225291407.533266,821535760.734087,108655710.67992519,1456506217.759655,,undefined
North America,º North America,1965,EFConsTotGHA,8860611.767400749,1281684137.9316716,222958523.55051002,31378406.147772297,280474461.2204851,127145397.74655929,1952501538.364402,,undefined
North America,º North America,1966,BiocapTotGHA,8905913.845657099,0,291583897.0840572,224791173.675251,822709617.81657,108643848.6940208,1456634451.115557,,undefined
North America,º North America,1966,EFConsTotGHA,8905913.845657099,1363914792.2329865,213088995.63569388,32327083.13245,290723215.95787853,129644391.01649049,2038604391.821153,,undefined
North America,º North America,1967,BiocapTotGHA,9326918.257429762,0,294207203.4027931,224589825.570202,821965657.1340599,108759583.76135519,1458849188.125839,,undefined
North America,º North America,1967,EFConsTotGHA,9326918.257429762,1418879413.842955,232180515.3496558,30796392.4802771,283618378.4181905,127118535.22035429,2101920153.568863,,undefined
North America,º North America,1968,BiocapTotGHA,9530927.055818656,0,308980392.954242,224046491.834327,820309824.152374,106520781.1411095,1469388417.137871,,undefined
North America,º North America,1968,EFConsTotGHA,9530927.055818656,1511352636.9835944,254615394.5025576,30520633.567225203,287476557.7435273,129661047.67382951,2223157197.526552,,undefined
North America,º North America,1969,BiocapTotGHA,9449982.219591219,0,317166695.6942941,223579267.66181898,817261052.4072361,103499709.0450474,1470956707.027989,,undefined
North America,º North America,1969,EFConsTotGHA,9449982.219591219,1574374815.931308,270847857.6970453,30526579.3474135,291658604.7022152,125917627.08720449,2302775466.984775,,undefined
North America,º North America,1970,BiocapTotGHA,8975629.204594119,0,296142255.1542049,223509959.46321303,817085250.239895,103177885.10209909,1448890979.164006,,undefined
North America,º North America,1970,EFConsTotGHA,8975629.204594119,1666872702.550163,227143886.1582849,31673761.167845502,288200005.0087539,125979083.1020767,2348845067.191717,,undefined
North America,º North America,1971,BiocapTotGHA,10175513.37879894,0,332934156.0317356,222858004.5296847,817009611.328687,102596411.0741452,1485573696.343051,,undefined
North America,º North America,1971,EFConsTotGHA,10175513.37879894,1713174273.776819,264430359.8808679,30354343.8517727,299496982.7492022,122268047.2408022,2439899520.878265,,undefined
North America,º North America,1972,BiocapTotGHA,9984014.45717093,0,321461350.6977607,222723957.475777,816487916.8805931,102347711.1689015,1473004950.680202,,undefined
North America,º North America,1972,EFConsTotGHA,9984014.45717093,1818695713.344165,230264281.9996694,29729279.35371788,298984987.615283,124299767.0882418,2511958043.8582478,,undefined
North America,º North America,1973,BiocapTotGHA,10606775.981454112,0,336763532.7259577,222958428.0300824,814202214.2437041,102203150.7888055,1486734101.7700028,,undefined
North America,º North America,1973,EFConsTotGHA,10606775.981454112,1898158378.694624,219063862.33076018,29642059.86051278,315083632.5093096,122311438.95942931,2594866148.336084,,undefined
North America,º North America,1974,BiocapTotGHA,9451513.76659679,0,295697143.1403612,222355309.6650711,813908370.378375,101720209.90930489,1443132546.859709,,undefined
North America,º North America,1974,EFConsTotGHA,9451513.76659679,1829545891.757308,197808458.5533457,28387982.26233071,305778351.8349041,116669636.70686759,2487641834.88135,,undefined
North America,º North America,1975,BiocapTotGHA,11002021.368684549,0,342535745.3055371,222082992.11332768,813183643.725649,101557927.96719849,1490362330.480397,,undefined
North America,º North America,1975,EFConsTotGHA,11002021.368684549,1740198653.2927911,235864681.4413457,28492739.33524862,271676469.4258533,116578344.334507,2403812909.198432,,undefined
North America,º North America,1976,BiocapTotGHA,11012033.43296469,0,340715777.33329993,221903240.788706,805420640.0848019,101439339.0135049,1480491030.653277,,undefined
North America,º North America,1976,EFConsTotGHA,11012033.43296469,1861404082.952509,232457084.5064517,31524663.59669022,305924462.0637637,120855223.6544234,2563177550.206797,,undefined
