Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Oceania,º Oceania,1961,BiocapTotGHA,290180.8305783572,0,14174619.90208221,77427644.09559965,51560910.27048522,168671016.37912855,312124371.47787344,,undefined
Oceania,º Oceania,1961,EFConsTotGHA,290180.8305783572,31661578.003718488,5778880.519911527,617557.1049396417,10823387.339297807,29171425.719801705,78343009.51824754,,undefined
Oceania,º Oceania,1962,BiocapTotGHA,313237.42029921873,0,16107991.270924456,77303741.15871869,51582111.79329575,168754582.0339074,314061663.6771452,,undefined
Oceania,º Oceania,1962,EFConsTotGHA,313237.42029921873,33037078.93132306,6583891.413203838,651788.26167106,9808113.410730397,28444259.87004078,78838369.30726835,,undefined
Oceania,º Oceania,1963,BiocapTotGHA,352494.4571929996,0,17645481.4802381,77187895.81115295,51528440.484697476,169564239.9534472,316278552.18672836,,undefined
Oceania,º Oceania,1963,EFConsTotGHA,352494.4571929996,35378543.63545007,10086504.413530862,671671.0415280861,10279290.42132778,29159839.013037603,85928342.98206742,,undefined
Oceania,º Oceania,1964,BiocapTotGHA,357980.67810804246,0,18572861.103389293,77109087.69778265,51507815.05612322,169982657.787245,317530402.3226484,,undefined
Oceania,º Oceania,1964,EFConsTotGHA,357980.67810804246,38035969.65720802,7568785.657170292,652192.792320991,10887847.015042001,28931958.489227876,86434734.28907719,,undefined
Oceania,º Oceania,1965,BiocapTotGHA,271992.0689130642,0,14355063.422771912,77024603.71067327,51503509.827970445,171008316.95664105,314163485.9869697,,undefined
Oceania,º Oceania,1965,EFConsTotGHA,271992.0689130642,40823209.87888462,4722128.687018563,730217.1657546987,11018010.196329558,30063851.02731636,87629409.02421683,,undefined
Oceania,º Oceania,1966,BiocapTotGHA,401150.2046430248,0,23048017.989318814,76853579.36891924,51615605.36559656,170378228.28653362,322296581.2150114,,undefined
Oceania,º Oceania,1966,EFConsTotGHA,401150.2046430248,44419784.637011096,15100591.161339572,761183.1850419205,10989464.573687747,26567448.570150662,98239622.33187394,,undefined
Oceania,º Oceania,1967,BiocapTotGHA,260562.5730542256,0,14338575.602892973,76784740.71160343,51600176.1305849,170976098.34026,313960153.3583954,,undefined
Oceania,º Oceania,1967,EFConsTotGHA,260562.5730542256,46449975.39511005,3989137.113942284,770095.3394138061,10851840.577648617,27975795.13577538,90297406.13494433,,undefined
Oceania,º Oceania,1968,BiocapTotGHA,421420.0256129583,0,25648618.269854963,76598981.00533432,51527449.275711484,178488180.55184412,332684649.1283582,,undefined
Oceania,º Oceania,1968,EFConsTotGHA,421420.0256129583,48797400.3734039,16278651.303381532,784427.5872792857,11862768.20909314,29500119.14145227,107644786.64022312,,undefined
