Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Latin America and the Caribbean,º Latin America and the Caribbean,1961,BiocapTotGHA,7349214.972324034,0,103148803.03121835,169625422.24828875,2351121527.7316184,387666331.16540796,3018911299.1488557,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1961,EFConsTotGHA,7349214.972324034,80881310.56983685,90113125.05465376,14470607.638257654,86644949.90346536,215103521.28596544,494562729.42450297,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1962,BiocapTotGHA,7610146.348853594,0,104906961.65817265,169353980.59160763,2344316615.41028,390614772.82026875,3016802476.8291883,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1962,EFConsTotGHA,7610146.348853594,86369571.33905087,87878893.10234417,16598341.219155442,88492843.55895318,211105571.54552436,498055367.1138815,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1963,BiocapTotGHA,7879949.40665951,0,110991470.9499757,169100191.18311074,2333970316.080429,392885003.9103752,3014826931.5305486,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1963,EFConsTotGHA,7879949.40665951,90265404.49446109,95727670.2180656,17229554.64130031,87687549.15075941,206082869.14368927,504872997.0549345,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1964,BiocapTotGHA,8258021.858639498,0,117013548.52653913,168927541.48334017,2324988841.3719597,395687433.59330624,3014875386.833787,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1964,EFConsTotGHA,8258021.858639498,94502515.23341706,99392149.39457215,18587749.85172273,89846284.08866917,216430807.5386999,527017527.9657198,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1965,BiocapTotGHA,8844465.992414776,0,118344506.28231528,171134835.70903915,2326233052.494194,400122981.57743245,3024679842.055393,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1965,EFConsTotGHA,8844465.992414776,102741457.52769624,95794329.35274354,17182241.726951998,92556830.10880344,224322926.97188145,541442251.6804919,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1966,BiocapTotGHA,9144028.59108176,0,121325647.68318443,170754850.33789366,2323092868.071372,401618119.74143946,3025935514.4249697,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1966,EFConsTotGHA,9144028.59108176,109007165.75775304,99017053.18134178,19603265.714701973,92168295.3357321,228824322.6353637,557764131.2159743,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1967,BiocapTotGHA,9643428.75839196,0,126740737.57050695,170601903.20486572,2314474634.815465,403445784.84354264,3024906489.1927667,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1967,EFConsTotGHA,9643428.75839196,116013653.24052846,109031680.16454683,20699146.035405036,94326327.49914995,235298117.34390822,585012353.0419304,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1968,BiocapTotGHA,9810897.607117642,0,125862402.14043768,170189178.5002617,2303169385.5180254,404785313.35054636,3013817177.1163883,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1968,EFConsTotGHA,9810897.607117642,127895648.12816553,108388282.27719487,19888737.444522306,98867488.39000036,234226329.1607765,599077383.0077769,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1969,BiocapTotGHA,10152612.40093572,0,129873817.4643156,169834267.79648983,2287792163.1139197,406409622.85443294,3004062483.6300983,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1969,EFConsTotGHA,10152612.40093572,140682467.74907026,108602293.72345112,19841746.535817347,100490754.349113,228570015.42584816,608339890.1842357,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1970,BiocapTotGHA,11143211.219181579,0,138945913.68990952,169781620.2174639,2280593382.4981647,410107958.15419304,3010572085.7789125,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1970,EFConsTotGHA,11143211.219181579,158486449.83796686,114983120.73435056,23555070.342986386,104442553.09229775,232433829.43795,645044234.6647334,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1971,BiocapTotGHA,11426049.037813492,0,141926142.31179908,172453787.39073828,2272742114.0441365,414405929.99719375,3012954022.78168,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1971,EFConsTotGHA,11426049.037813492,169427214.7604061,121706504.34981023,24465793.218447946,106486200.52926873,245197110.16206205,678708872.0578086,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1972,BiocapTotGHA,11216507.148948116,0,137731271.40916035,172350058.012995,2267256090.9850945,417245826.2293887,3005799753.785586,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1972,EFConsTotGHA,11216507.148948116,183454529.75901645,121115918.55266486,19499212.693514332,107331531.6887204,251603112.40512732,694220812.2479916,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1973,BiocapTotGHA,11665176.94257003,0,143784018.54258466,172531497.91777602,2256750591.0216,420567129.47456276,3005298413.8990936,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1973,EFConsTotGHA,11665176.94257003,206651802.37663355,123443101.06800719,20718788.394475736,107376291.54961927,264144901.83657685,734000062.167883,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1974,BiocapTotGHA,12487484.286761133,0,152178991.36309925,172064787.97612235,2251302793.101993,422484278.6513301,3010518335.3793097,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1974,EFConsTotGHA,12487484.286761133,224728702.38408718,135979477.8410297,20946312.93210661,111879241.54161246,286643924.1980956,792665143.1836927,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1975,BiocapTotGHA,12605197.065065168,0,152537520.08353418,171848828.41825837,2244693101.495847,424975437.5557823,3006660084.618484,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1975,EFConsTotGHA,12605197.065065168,224584540.39806125,134474851.55575106,18926497.144120004,116230536.31905212,291529072.6200085,798350695.1020588,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1976,BiocapTotGHA,12749836.218160579,0,157560296.85977504,171714590.92067248,2229946471.875678,427070833.6990801,2999042029.573366,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1976,EFConsTotGHA,12749836.218160579,238742119.03245822,130183698.13386394,21536501.39469032,120347379.73236455,294816871.9743245,818376406.4858623,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1977,BiocapTotGHA,13190734.32968792,0,162820874.05406737,171980807.18588638,2221944413.785769,430532653.01779926,3000469482.373207,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1977,EFConsTotGHA,13190734.32968792,252680606.1088553,132379758.65481715,22911722.42774576,123998823.25242236,302733240.6495667,847894885.4230961,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1978,BiocapTotGHA,13596928.483125897,0,170615435.63168514,172149981.65052795,2205491206.188879,432543466.40382314,2994397018.3580375,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1978,EFConsTotGHA,13596928.483125897,265275202.84854347,144000571.45552754,30854105.332214147,126960397.07335855,298253387.80881727,878940593.0015868,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1979,BiocapTotGHA,13558141.847436946,0,169684414.07114506,172483091.39539784,2192237741.589171,435799383.07757145,2983762771.9807205,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1979,EFConsTotGHA,13558141.847436946,280971942.7718915,144108723.4225829,27676318.322214227,136657966.23306644,306539860.75936514,909512953.3565565,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1980,BiocapTotGHA,14219331.43363053,0,176481968.782164,172954623.66170928,2263742669.5016623,439221536.0812106,3066620129.4603753,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1980,EFConsTotGHA,14219331.43363053,291905622.4475548,159317514.9755206,26339759.85950736,142865957.0567856,326607047.75690514,961255233.5299051,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1981,BiocapTotGHA,15007711.601185605,0,186634946.3061542,173144284.57633516,2261801342.7091227,441369521.9660454,3077957807.15884,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1981,EFConsTotGHA,15007711.601185605,279993555.50106764,165166524.72777912,28830689.178043544,142989327.0138884,321266482.5622739,953254290.5842382,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1982,BiocapTotGHA,15444053.676941441,0,195226477.06569377,172377903.09037226,2261748769.042347,440935574.56076574,3085732777.4361186,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1982,EFConsTotGHA,15444053.676941441,269769871.746533,169834268.46223658,28499775.631221175,143948514.91738334,318455363.6208305,945951848.0551465,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1983,BiocapTotGHA,15939380.849787256,0,199090558.9560084,171944616.4292783,2258419632.4810815,442177339.52653223,3087571528.2426877,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1983,EFConsTotGHA,15939380.849787256,247838098.09782928,163107348.47630787,25295331.431659997,145458969.0471974,322248874.81656265,919888002.7193446,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1984,BiocapTotGHA,17202587.291123156,0,212036752.68312192,170972535.80903858,2253615035.3058867,442416604.0244019,3096243515.113574,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1984,EFConsTotGHA,17202587.291123156,254010405.95262364,177212166.56010363,30217161.805856995,147518628.79211158,327895765.13032824,954056715.5321475,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1985,BiocapTotGHA,18333188.451078553,0,222093524.02740288,170188606.2650209,2247196990.969554,441650644.8675072,3099462954.580562,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1985,EFConsTotGHA,18333188.451078553,255576018.23321137,179311931.52910873,30396022.678728096,150647496.68990237,327071050.6524074,961335708.2344373,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1986,BiocapTotGHA,18313102.857477542,0,213513337.80067575,169593588.2058408,2263878752.473967,441198855.1022264,3106497636.4401827,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1986,EFConsTotGHA,18313102.857477542,270706769.12616646,186777173.78690016,31786428.451303698,154159076.2027932,337943571.61828095,999686122.0429232,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1987,BiocapTotGHA,19806008.67564193,0,225438997.05079666,169395289.2978348,2266282119.607977,440910976.7053847,3121833391.3376393,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1987,EFConsTotGHA,19806008.67564193,278624131.935437,196023504.6961524,33470473.920273848,158236277.76437387,339795161.9028957,1025955558.8947747,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1988,BiocapTotGHA,20526713.14343931,0,230155631.37588617,169054355.3724928,2268981533.8862805,440455348.4299444,3129173582.2080426,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1988,EFConsTotGHA,20526713.14343931,285404508.4542698,195533459.3892287,39649695.09303351,158016256.83078945,339906985.9014135,1039037618.8121747,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1989,BiocapTotGHA,20998055.256263282,0,226001137.3620151,168835959.72735876,2269443931.907176,439910181.33722854,3125189265.5900426,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1989,EFConsTotGHA,20998055.256263282,294902611.6602796,192664446.50895122,40583434.02208525,165313360.40615296,350637727.2601362,1065099635.1138691,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1990,BiocapTotGHA,21337117.232911922,0,226333276.99261615,167884552.592212,2267834552.2261586,436226825.6006406,3119616324.6445374,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1990,EFConsTotGHA,21337117.232911922,293915561.9240303,186870182.098393,41949132.08377489,163599441.6679097,352210599.642942,1059882034.6499629,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1991,BiocapTotGHA,21591023.78608086,0,224756253.81699106,168011295.29895413,2253549521.2961864,436855809.5801844,3104763903.7783976,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1991,EFConsTotGHA,21591023.78608086,309013922.3165997,194063498.32664013,42350695.410834685,167855783.44799435,358584736.9253755,1093459660.2135255,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1992,BiocapTotGHA,22279910.35173533,0,226251851.4033672,169635409.52156734,2273203334.1283026,440929456.39559543,3132299961.800562,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1992,EFConsTotGHA,22279910.35173533,321290027.74506706,199796036.85455978,45388610.05287334,173930230.5104245,365857537.3462194,1128542352.8608787,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1993,BiocapTotGHA,23135130.760610294,0,228841394.84985673,169227230.57363266,2262054482.130118,440280277.4204918,3123538515.7347116,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1993,EFConsTotGHA,23135130.760610294,335514850.7966966,204432017.6699912,47438591.072329946,176219396.6255433,362067715.90577835,1148807702.8309515,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1994,BiocapTotGHA,24288369.578799475,0,234991492.49572486,169073327.56472993,2252926513.450288,439970542.1584207,3121250245.2479606,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1994,EFConsTotGHA,24288369.578799475,361739464.806644,217920036.0617234,51934880.26813307,178607818.5108443,363175698.16313773,1197666267.3892822,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1995,BiocapTotGHA,25938815.943002205,0,245999185.66014162,168877229.14958638,2241771324.6110168,439610162.8753767,3122196718.239122,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1995,EFConsTotGHA,25938815.943002205,376989147.28726554,217645469.27198994,57526358.65011535,183336592.61224365,361987228.6048429,1223423612.369459,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1996,BiocapTotGHA,25784038.096556455,0,240353612.09713635,168671372.38186282,2228515451.932775,441740476.71377575,3105064951.222107,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1996,EFConsTotGHA,25784038.096556455,429957900.00776196,225101816.61785462,60097082.734584816,180126693.15876856,365439174.7712797,1286506705.3868058,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1997,BiocapTotGHA,26951644.85079407,0,255456505.48752406,168642575.7221672,2213727428.6728716,440981419.4156806,3105759574.149033,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1997,EFConsTotGHA,26951644.85079407,439723418.20591897,221242836.55815053,54175047.125442155,183673109.12278908,359074270.6330693,1284840326.4961631,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1998,BiocapTotGHA,27790803.45070513,0,269371613.2409878,168788625.79217234,2201448109.845688,441077683.84838545,3108476836.177944,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1998,EFConsTotGHA,27790803.45070513,447074503.3832457,234514320.05695656,45885693.43125076,185509106.4367912,358518302.40298325,1299292729.161933,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1999,BiocapTotGHA,28814311.485959686,0,276510869.5908711,168993597.58465633,2183685972.4349823,441409906.44191444,3099414657.538378,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,1999,EFConsTotGHA,28814311.485959686,530921822.6978884,236680995.60991105,45920220.05067079,198165287.2683122,356127314.1999856,1396629951.3127286,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2000,BiocapTotGHA,29812670.34702922,0,286118146.16230714,173254764.1038939,2212266638.8210354,436881802.92573607,3138334022.360001,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2000,EFConsTotGHA,29812670.34702922,437151716.0985038,250780452.31129146,44224156.633234404,205517333.86357647,354325633.0549181,1321811962.3085542,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2001,BiocapTotGHA,32197063.027226754,0,304382646.2700907,173333374.40603662,2198033627.9721212,432696676.72718763,3140643388.4026613,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2001,EFConsTotGHA,32197063.027226754,474378283.09673446,251484050.4737111,48332766.10179628,189769256.77847257,354278021.4744257,1350439440.9523666,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2002,BiocapTotGHA,33870030.815009825,0,314643790.75853086,173461017.1809658,2194992696.5602827,435334243.6429284,3152301778.9577165,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2002,EFConsTotGHA,33870030.815009825,443851867.4147325,266885802.18242112,48800604.265117794,194033630.48147792,353334768.77438545,1340776703.9331439,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2003,BiocapTotGHA,36801283.53229931,0,342462524.8983123,172740663.57389545,2176331484.3208838,433323026.543061,3161658982.868453,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2003,EFConsTotGHA,36801283.53229931,422696100.0248521,281925140.21603006,44547210.23338766,206900777.64712828,347266827.4427867,1340137339.096484,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2004,BiocapTotGHA,37179332.984603345,0,343538539.78952664,172382001.0192883,2151314603.8628283,432022985.28981376,3136437462.9460516,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2004,EFConsTotGHA,37179332.984603345,404375942.01893824,267340892.09768713,51722329.78370905,202020923.78341794,330964077.795181,1293603498.463535,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2005,BiocapTotGHA,36316184.15329078,0,343237926.99230033,171827935.54294565,2134912267.635535,431421554.45033866,3117715868.7744007,,undefined
Latin America and the Caribbean,º Latin America and the Caribbean,2005,EFConsTotGHA,36316184.15329078,471927740.87836736,257084034.53748977,50646360.633948274,202253927.05912927,319334287.9356854,1337562535.1979127,,undefined
